XM_040189480.1	chrI	3248545	3248545	chrI	3246957	3258999	-	XM_040189480.1	path1	Q9MYX0	Sodium-dependent serotonin transporter	5HT transporter;Solute carrier family 6 member 4;	 PF03491;PF00209;	 GO:0012505;GO:0010008;GO:0005925;GO:0005887;GO:0045121;GO:0043005;GO:0005886;GO:0098793;GO:0045202;GO:0051015;GO:0042802;GO:0046872;GO:0005326;GO:0050998;GO:0051378;GO:0005335;GO:0048854;GO:0071310;GO:0046621;GO:0045787;GO:0010628;GO:0090067;GO:0009636;GO:0051610;GO:0035176;GO:0035725;	  C:endomembrane system; C:endosome membrane; C:focal adhesion; C:integral component of plasma membrane; C:membrane raft; C:neuron projection; C:plasma membrane; C:presynapse; C:synapse;	  F:actin filament binding; F:identical protein binding; F:metal ion binding; F:neurotransmitter transmembrane transporter activity; F:nitric-oxide synthase binding; F:serotonin binding; F:serotonin:sodium symporter activity;	  P:brain morphogenesis; P:cellular response to organic substance; P:negative regulation of organ growth; P:positive regulation of cell cycle; P:positive regulation of gene expression; P:regulation of thalamus size; P:response to toxic substance; P:serotonin uptake; P:social behavior; P:sodium ion transmembrane transport;
XM_040174847.1	chrI	26604719	26604719	chrI	26526347	26680230	-	XM_040174847.1	path1	O15394 A8MQ06 B7Z841 Q7Z7F2	Neural cell adhesion molecule 2		 PF00041;PF07679;	 GO:0030424;GO:0016021;GO:0043005;GO:0016604;GO:0005886;GO:0042802;GO:0007413;GO:0007158;GO:0007608;	  C:axon; C:integral component of membrane; C:neuron projection; C:nuclear body; C:plasma membrane;	  F:identical protein binding;	  P:axonal fasciculation; P:neuron cell-cell adhesion; P:sensory perception of smell;
XM_040167321.1	chrII	8245408	8245408	chrII	8240052	8325974	+	XM_040167321.1	path1	P78333 B2R726 O60436 Q9BX27	Glypican-5		 PF01153;	 GO:0046658;GO:0009986;GO:0062023;GO:0005576;GO:0005615;GO:0005796;GO:0016021;GO:0043202;GO:0005886;GO:0016477;GO:0006024;GO:0006027;GO:0090263;GO:1905475;GO:0001523;	  C:anchored component of plasma membrane; C:cell surface; C:collagen-containing extracellular matrix; C:extracellular region; C:extracellular space; C:Golgi lumen; C:integral component of membrane; C:lysosomal lumen; C:plasma membrane;	 	  P:cell migration; P:glycosaminoglycan biosynthetic process; P:glycosaminoglycan catabolic process; P:positive regulation of canonical Wnt signaling pathway; P:regulation of protein localization to membrane; P:retinoid metabolic process;
XM_040164547.1	chrII	8361771	8361771	chrII	8335561	8432963	-	XM_040164547.1	path1	Q5RE54	Glypican-6		 PF01153;	 GO:0046658;GO:0062023;GO:0005615;GO:0016477;GO:0009966;	  C:anchored component of plasma membrane; C:collagen-containing extracellular matrix; C:extracellular space;	 	  P:cell migration; P:regulation of signal transduction;
XM_040170451.1	chrIII	2161292	2161292	chrIII	2153033	2163959	-	XM_040170451.1	path1	Q5VZ46 Q5VZ45 Q9HCF8	Uncharacterized protein KIAA1614		 PF15737;	 GO:0016324;GO:0005938;GO:0005634;GO:0005080;GO:0007098;GO:0007163;GO:0060341;	  C:apical plasma membrane; C:cell cortex; C:nucleus;	  F:protein kinase C binding;	  P:centrosome cycle; P:establishment or maintenance of cell polarity; P:regulation of cellular localization;
XM_040170453.1	chrIII	2161356	2161356	chrIII	2164111	2179317	+	XM_040170453.1	path1	Q4VGL6 B2RS13 Q69Z31	Roquin-1 {ECO:0000305}	Protein Sanroque {ECO:0000303|PubMed:23583642};RING finger and C3H zinc finger protein 1;RING finger and CCCH-type zinc finger domain-containing protein 1;	 PF18386;PF00642;PF13445;	 GO:0005737;GO:0010494;GO:0000932;GO:0003725;GO:0035198;GO:0003730;GO:0003729;GO:0035613;GO:0061630;GO:0004842;GO:0008270;GO:0061158;GO:0001782;GO:0071347;GO:0048535;GO:0046007;GO:0030889;GO:0002635;GO:2000320;GO:0045623;GO:0000956;GO:0000288;GO:0033962;GO:0061014;GO:1901224;GO:0010608;GO:0000209;GO:0010468;GO:0002634;GO:2000628;GO:0043488;GO:0050856;GO:0048536;GO:0043029;GO:0042098;GO:0050852;GO:0061470;GO:0006511;	  C:cytoplasm; C:cytoplasmic stress granule; C:P-body;	  F:double-stranded RNA binding; F:miRNA binding; F:mRNA 3'-UTR binding; F:mRNA binding; F:RNA stem-loop binding; F:ubiquitin protein ligase activity; F:ubiquitin-protein transferase activity; F:zinc ion binding;	  P:3'-UTR-mediated mRNA destabilization; P:B cell homeostasis; P:cellular response to interleukin-1; P:lymph node development; P:negative regulation of activated T cell proliferation; P:negative regulation of B cell proliferation; P:negative regulation of germinal center formation; P:negative regulation of T-helper 17 cell differentiation; P:negative regulation of T-helper cell differentiation; P:nuclear-transcribed mRNA catabolic process; P:nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay; P:P-body assembly; P:positive regulation of mRNA catabolic process; P:positive regulation of NIK/NF-kappaB signaling; P:posttranscriptional regulation of gene expression; P:protein polyubiquitination; P:regulation of gene expression; P:regulation of germinal center formation; P:regulation of miRNA metabolic process; P:regulation of mRNA stability; P:regulation of T cell receptor signaling pathway; P:spleen development; P:T cell homeostasis; P:T cell proliferation; P:T cell receptor signaling pathway; P:T follicular helper cell differentiation; P:ubiquitin-dependent protein catabolic process;
XM_040171825.1	chrIII	2318001	2318001	chrIII	2295392	2372855	+	XM_040171825.1	path1	P78333 B2R726 O60436 Q9BX27	Glypican-5		 PF01153;	 GO:0046658;GO:0009986;GO:0062023;GO:0005576;GO:0005615;GO:0005796;GO:0016021;GO:0043202;GO:0005886;GO:0016477;GO:0006024;GO:0006027;GO:0090263;GO:1905475;GO:0001523;	  C:anchored component of plasma membrane; C:cell surface; C:collagen-containing extracellular matrix; C:extracellular region; C:extracellular space; C:Golgi lumen; C:integral component of membrane; C:lysosomal lumen; C:plasma membrane;	 	  P:cell migration; P:glycosaminoglycan biosynthetic process; P:glycosaminoglycan catabolic process; P:positive regulation of canonical Wnt signaling pathway; P:regulation of protein localization to membrane; P:retinoid metabolic process;
XM_040171021.1	chrIII	3041462	3041462	chrIII	3007497	3121393	+	XM_040171021.1	path1	Q6PFX6	Cadherin-24		 PF00028;PF01049;	 GO:0005912;GO:0016342;GO:0005911;GO:0016021;GO:0045294;GO:0008013;GO:0045296;GO:0005509;GO:0070097;GO:0034332;GO:0016339;GO:0000902;GO:0098609;GO:0098742;GO:0007043;GO:0007156;GO:0007275;	  C:adherens junction; C:catenin complex; C:cell-cell junction; C:integral component of membrane;	  F:alpha-catenin binding; F:beta-catenin binding; F:cadherin binding; F:calcium ion binding; F:delta-catenin binding;	  P:adherens junction organization; P:calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules; P:cell morphogenesis; P:cell-cell adhesion; P:cell-cell adhesion via plasma-membrane adhesion molecules; P:cell-cell junction assembly; P:homophilic cell adhesion via plasma membrane adhesion molecules; P:multicellular organism development;
XM_040170797.1	chrIII	7223409	7223409	chrIII	7216370	7227089	+	XM_040170797.1	path1	Q8N350 K7EJP2 O43385	Voltage-dependent calcium channel beta subunit-associated regulatory protein {ECO:0000305}		 	 GO:0030426;GO:0016021;GO:0005886;GO:0030141;GO:0030672;GO:0044325;GO:1903170;GO:0045955;GO:1901386;	  C:growth cone; C:integral component of membrane; C:plasma membrane; C:secretory granule; C:synaptic vesicle membrane;	  F:ion channel binding;	  P:negative regulation of calcium ion transmembrane transport; P:negative regulation of calcium ion-dependent exocytosis; P:negative regulation of voltage-gated calcium channel activity;
XM_040170816.1	chrIII	7223409	7223409	chrIII	7227539	7238726	-	XM_040170816.1	path1	Q0GGW5	Serine/threonine-protein kinase STK11 {ECO:0000250|UniProtKB:Q15831}	Liver kinase B1 homolog;	 PF00069;	 GO:0005737;GO:0005829;GO:0016020;GO:0005739;GO:0005634;GO:0005524;GO:0000287;GO:0002039;GO:0030295;GO:0019901;GO:0106310;GO:0004674;GO:0106311;GO:0032147;GO:0007050;GO:0006974;GO:0009267;GO:0030010;GO:0042593;GO:0072332;GO:0090090;GO:0030308;GO:0046777;GO:0006470;GO:0006468;GO:0001558;GO:0042493;GO:0010212;GO:0001944;	  C:cytoplasm; C:cytosol; C:membrane; C:mitochondrion; C:nucleus;	  F:ATP binding; F:magnesium ion binding; F:p53 binding; F:protein kinase activator activity; F:protein kinase binding; F:protein serine kinase activity; F:protein serine/threonine kinase activity; F:protein threonine kinase activity;	  P:activation of protein kinase activity; P:cell cycle arrest; P:cellular response to DNA damage stimulus; P:cellular response to starvation; P:establishment of cell polarity; P:glucose homeostasis; P:intrinsic apoptotic signaling pathway by p53 class mediator; P:negative regulation of canonical Wnt signaling pathway; P:negative regulation of cell growth; P:protein autophosphorylation; P:protein dephosphorylation; P:protein phosphorylation; P:regulation of cell growth; P:response to drug; P:response to ionizing radiation; P:vasculature development;
