XM_040193533.1	chrI	11609314	11609314	chrI	11588752	11610155	+	XM_040193533.1	path1	Q6GPD0	Rho GTPase-activating protein 32	Rho-type GTPase-activating protein 32;Rho/Cdc42/Rac GTPase-activating protein RICS;	 PF00620;PF07653;	 GO:0005737;GO:0005886;GO:0014069;GO:0005096;GO:1901981;GO:0043547;GO:0007165;	  C:cytoplasm; C:plasma membrane; C:postsynaptic density;	  F:GTPase activator activity; F:phosphatidylinositol phosphate binding;	  P:positive regulation of GTPase activity; P:signal transduction;
XM_040182742.1	chrI	11695959	11695959	chrI	11623256	11721071	-	XM_040182742.1	path1	Q9BY67 A4FVB5 F5H0J4 H0YGA7 H1ZZV9 H1ZZW1 H1ZZW2 Q86WB8 Q8N2F4 X5D2C8	Cell adhesion molecule 1	Immunoglobulin superfamily member 4;Nectin-like protein 2;Spermatogenic immunoglobulin superfamily;Synaptic cell adhesion molecule;Tumor suppressor in lung cancer 1;	 PF08205;PF07686;	 GO:0016323;GO:0005911;GO:0016021;GO:0005886;GO:0045202;GO:0030165;GO:0042803;GO:0005102;GO:0034332;GO:0006915;GO:0030154;GO:0008037;GO:0051606;GO:0007157;GO:0007156;GO:0002376;GO:0007275;GO:0001819;GO:0045954;GO:0007283;GO:0042271;GO:0016032;	  C:basolateral plasma membrane; C:cell-cell junction; C:integral component of membrane; C:plasma membrane; C:synapse;	  F:PDZ domain binding; F:protein homodimerization activity; F:signaling receptor binding;	  P:adherens junction organization; P:apoptotic process; P:cell differentiation; P:cell recognition; P:detection of stimulus; P:heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules; P:homophilic cell adhesion via plasma membrane adhesion molecules; P:immune system process; P:multicellular organism development; P:positive regulation of cytokine production; P:positive regulation of natural killer cell mediated cytotoxicity; P:spermatogenesis; P:susceptibility to natural killer cell mediated cytotoxicity; P:viral process;
XM_040173325.1	chrI	11752484	11752484	chrI	11745530	11803004	+	XM_040173325.1	path1	P31836	Neural cell adhesion molecule 1		 PF00041;PF07679;	 GO:0030424;GO:0016021;GO:0005886;GO:0098632;GO:0007411;GO:0070593;GO:0007156;	  C:axon; C:integral component of membrane; C:plasma membrane;	  F:cell-cell adhesion mediator activity;	  P:axon guidance; P:dendrite self-avoidance; P:homophilic cell adhesion via plasma membrane adhesion molecules;
XM_040183888.1	chrI	11801582	11801582	chrI	11805392	11824598	+	XM_040183888.1	path1	Q802Y8	Zinc finger and BTB domain-containing protein 16-A {ECO:0000312|EMBL:AAH46887.1}	Promyelocytic leukemia zinc finger protein-A;Zinc finger protein PLZF-A {ECO:0000303|PubMed:20080956};	 PF00651;PF00096;	 GO:0005737;GO:0005654;GO:0005634;GO:0001227;GO:0046872;GO:0000978;GO:0032481;GO:0016567;GO:0050767;GO:0006357;	  C:cytoplasm; C:nucleoplasm; C:nucleus;	  F:DNA-binding transcription repressor activity, RNA polymerase II-specific; F:metal ion binding; F:RNA polymerase II cis-regulatory region sequence-specific DNA binding;	  P:positive regulation of type I interferon production; P:protein ubiquitination; P:regulation of neurogenesis; P:regulation of transcription by RNA polymerase II;
XM_040193381.1	chrI	11820309	11820309	chrI	11829342	11835526	+	XM_040193381.1	path1	Q9H3S3	Transmembrane protease serine 5	Spinesin;	 PF15494;PF00089;	 GO:0016021;GO:0043025;GO:0005886;GO:0008233;GO:0005044;GO:0004252;GO:0006508;	  C:integral component of membrane; C:neuronal cell body; C:plasma membrane;	  F:peptidase activity; F:scavenger receptor activity; F:serine-type endopeptidase activity;	  P:proteolysis;
XM_040183769.1	chrI	11820309	11820309	chrI	11835628	11837754	+	XM_040183769.1	path1	Q5PRB3	PIH1 domain-containing protein 2		 PF08190;PF18201;	 GO:0005737;GO:0097255;GO:1990904;GO:0070286;GO:0000492;GO:0006364;	  C:cytoplasm; C:R2TP complex; C:ribonucleoprotein complex;	 	  P:axonemal dynein complex assembly; P:box C/D snoRNP assembly; P:rRNA processing;
XM_040183791.1	chrI	11820309	11820309	chrI	11838170	11846235	-	XM_040183791.1	path1	Q804T6	Dixin-A	Coiled-coil protein DIX1-A;DIX domain-containing protein 1-A;	 PF00778;	 GO:0005829;GO:0005925;GO:0042802;GO:0043010;GO:0060070;GO:0030900;	  C:cytosol; C:focal adhesion;	  F:identical protein binding;	  P:camera-type eye development; P:canonical Wnt signaling pathway; P:forebrain development;
XM_040194087.1	chrI	20496298	20496298	chrI	20449404	20524081	+	XM_040194087.1	path1	Q8BNA6 Q08ED4	Protocadherin Fat 3	FAT tumor suppressor homolog 3;	 PF00028;PF02210;	 GO:0030425;GO:0016021;GO:0005886;GO:0005509;GO:0000904;GO:0098609;GO:0007156;GO:2000171;GO:0001764;GO:0010842;	  C:dendrite; C:integral component of membrane; C:plasma membrane;	  F:calcium ion binding;	  P:cell morphogenesis involved in differentiation; P:cell-cell adhesion; P:homophilic cell adhesion via plasma membrane adhesion molecules; P:negative regulation of dendrite development; P:neuron migration; P:retina layer formation;
XM_040194242.1	chrI	20496298	20496298	chrI	20506711	20511273	-	XM_040194242.1	path1	Q5F4A1	G2/M phase-specific E3 ubiquitin-protein ligase	G2/M phase-specific HECT-type E3 ubiquitin transferase;	 PF00632;	 GO:0005737;GO:0005730;GO:0005634;GO:0046872;GO:0004842;GO:0006915;GO:0007275;	  C:cytoplasm; C:nucleolus; C:nucleus;	  F:metal ion binding; F:ubiquitin-protein transferase activity;	  P:apoptotic process; P:multicellular organism development;
XM_040194325.1	chrI	20551435	20551435	chrI	20586461	20603904	-	XM_040194325.1	path1	Q14119	Vascular endothelial zinc finger 1	Putative transcription factor DB1;Zinc finger protein 161;	 PF00096;	 GO:0005654;GO:0005634;GO:0001228;GO:0000981;GO:0046872;GO:0000977;GO:0001525;GO:0006968;GO:0001885;GO:0045603;GO:0045944;GO:0006357;	  C:nucleoplasm; C:nucleus;	  F:DNA-binding transcription activator activity, RNA polymerase II-specific; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:metal ion binding; F:RNA polymerase II transcription regulatory region sequence-specific DNA binding;	  P:angiogenesis; P:cellular defense response; P:endothelial cell development; P:positive regulation of endothelial cell differentiation; P:positive regulation of transcription by RNA polymerase II; P:regulation of transcription by RNA polymerase II;
